title,price,sqm,rooms,postcode
private provisionsfreie mietwohnung in ruhigem haus nähe wienerwald,390,36,2,1140
nachmieter für ruhige wohnung mit garten im 12. bezirk,NA,43,2,1120
"moderne, schöne 3-zimmer wohnung! nähe augarten - provisionsfrei",1320,92,3,1020
inkl. heizkosten - neubau - ruhelage,739.61,53,2,1100
"große, schöne wohnung super gelegen, ein echtes zuhause auch für wg geeignet",1380,90,4,1200
wunderschöne wohnung **ruhelage** **sofortbeziehbar**,1099.07,77,3,1210
2 zimmer-dachwohnung in der mollardgasse - provisionsfrei,913,66,2,1060
"gemütliche ""einzimmerresidenz"" mit blick in einen ruhigen innenhof",649,42,1,1140
schnell zuschlagen - top lage - 2 zimmer wohnung,781.64,61,2,1090
top lage - 2 zimmer - sehr gepflegt,804.88,59,2,1090
prachtvolle altbaumiete,3495,220,5,1030
helle neubauwohnug mit loggia und optionalem tiefgaragenstellplatz,998.53,67,2,1020
sofortbezug: möblierte wohnung auf zeit nähe klinik floridsdorf / siemens straße,619,35,2,1210
wohnung mit balkon in top lage direkt neben dem alten akh,1303.97,80,3,1090
singlehit mit 2 zimmern im arsenal!,660,45,2,1030
unbefristete 46m2 wohnung mit klimaanlage+infrarotheizung,860,46,2,1030
"1090 wien. renovierte, voll möblierte wohnung in zentraler lage provisonsfrei zu vermieten.",720,40,NA,1090
++ erstbezug ++ top neubauprojekt in gut angebundener lage,1125,62,3,1160
tolle 2 zimmer wohnung in top-lage beim kagraner platz - nachmietersuche ab 01.02.2023 verfügbar - jetzt anfragen,1051.95,63,2,1220
wunderbare 3 zimmer wohnung in zentraler lage - ideal für familien oder wg's - jetzt anfragen. - wohntraum,1769.99,120,3,1060
"!provisionsfreie! gemütliche, wg taugliche wohnung- sofort bezugsfertig!!",1350,108,3,1100
"großzügige, helle garconniere nähe schönbrunn",541.3499999999999,36,1,1120
"1,5 zimmerwohnung - sehr gepflegte wohnung mit hübschem erker",665.2700000000001,55,1,1180
erstbezugsqualität im neubau,1090,70,3,1110
stilvoller wohngenuss viele extras zum wohlfühlen loggia inklusive küche - jetzt anfragen,683.7800000000001,45,2,1210
*singlehit bei meidlinger haupstraße inkl küche* ab 1.5.2023 bezugsfrei!*,545.01,32,1,1120
*jetzt zuschlagen!**familienhit in bester lage*3 zimmer wohntraum mit terrasse* ab 1.3.2023 bezugsfrei*,1064.27,61,3,1120
*single oder pärchenhit beim arenbergpark ab sofort verfügbar*inkl küche*,979,52,2,1030
trienna living - wellness - fitness - nähe u3 schlachthausgasse - tolle 3 zimmerwohnung mit terrasse und zwei tiefgaragen,1199,65,3,1030
wunderbare 3 zimmer wohnung in zentraler lage - ideal für familien oder wg's - jetzt anfragen,1770.1599999999999,120,3,1060
3 zimmer-wohnung in einem schönen gründerzeithaus,830,66,3,1070
karlsplatz - 4 zimmer - unbefristet,2440.98,142,4,1010
erster monat mietzinsfrei - schönes zusammenleben im grünen erstbezug in simmering - provisionsfrei für den mieter,798,48,2,1110
helle dachgeschoßwohnung mit 2 zimmer,1263.81,75,2,1060
helle dg wohnung mit terrasse!,949.92,68,3,1100
the metropolitan - provisionsfrei für den mieter - modern living im belebten sonnwendviertel! ++ erstbezug ++,1149.99,64,1,1100
"gumpendorferstraße! helles, modernes singleappartment nähe raimundtheater!",565.74,37,1,1060
nette gartenwohnung,1070,53,2,1180
winteraktion: 1. monat mietzinsfrei: das forsthaus 11 - erstbezug nahe der donau,765,45,2,1200
das forsthaus 11 - erstbezug nahe der schönen donau - winteraktion: 1. monat mietzinsfrei,785,42,2,1200
das forsthaus 11 - erstbezug nahe der donau - winteraktion: 1. monat mietzinsfrei,763.7900000000001,41,2,1200
altbauwohnung in top lage,1095.55,90,2,1080
raum für mehr : 80m2 nahe schloss hetzendorf,1119.3799999999999,88,3,1120
helle altbauwohnung mit flügeltüren,1216.1699999999998,85,3,1040
ober st. veit / nr. a1- 2 zimmer mit ca. 45m,632.5,45,2,1130
ober st. veit / nr. b20 - 2 zimmer mit ca. 48m - erstbezug nach modernisierung,770,48,2,1130
++ erstbezug ++ top neubauprojekt in gut angebundener lage,775,41,2,1160
"""top 2 / 2 zimmer / senioren*innen 60+ / provisionsfrei""",1013,53,2,1100
"""top 3 / 2 zimmer / senioren*innen 60+ / provisionsfrei""",1013,53,2,1100
"""top 9 / 2 zimmer / senioren*innen 60+ / provisionsfrei""",992,49,2,1100
"""top 13 / 2 zimmer / senioren*innen 60+ / provisionsfrei""",940,44,2,1100
"""top 4 / 2 zimmer / senioren*innen 60+ / provisionsfrei""",992,49,2,1100
helles single-apartment nächst reinprechtsdorfer straße,606.3599999999999,37,1,1050
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,999,54,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,875,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,849,43,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,949.01,51,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,849,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1275,66,3,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,698.99,36,1,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,699,36,1,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,698.99,36,1,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,699,36,1,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,799,44,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,875,50,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,925.01,48,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,949.01,54,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,825,43,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,825,43,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,949.01,51,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,849,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1249.1,66,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1275,66,3,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,875,50,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,925.01,48,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,949.01,54,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,775,42,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,925,50,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,825,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,825,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1224.99,66,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1248.99,66,3,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,849,50,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,899.01,48,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,925.01,54,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,925,50,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,949,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1199,65,3,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,949,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,949,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,925,43,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,948.99,46,2,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1599,86,3,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1475,77,3,1200
brigitte now provisionsfrei - moderner neubau/erstbezug nähe u-bahn,1649,86,3,1200
urlaub auf der eigenen terrasse!,899.8399999999999,63,2,1150
wohnen mitten im 14. bezirk - schöne 2-zimmerwohnung mit balkon!,838.99,47,2,1140
2 zimmerwohnung nähe mariahilf,850,49,2,1060
erstbezug | hochwertige wohnungen mit freifläche zu mieten!,1699,85,4,1200
"2,5 zimmerwohnung in guter lage",1068.25,75,2,1060
"2,5 zimmerwohnung in guter lage",1068.25,75,2,1060
moderne dg-wohnung mit einbauküche in grünlage - 1230 wien,780,54,2,1230
charmante 2-zimmer-terrassenwohnung beim maurer hauptplatz - ab sofort!,869,55,2,1230
"lindengasse - 4,5 zimmer - balkon",2264.5,174,4,1070
"wunderschöne, sanierte, gut geschnittene 3 zimmer wohnung beim brunnenmarkt! neue küche ab dez2022!",1118.87,71,3,1160
loggia-traum in akh-nähe,949,58,2,1090
"provisionsfrei! helle 2-zimmer wohnung mit loggia, nähe brehmpark",899,51,2,1030
"provisionsfrei! helle 2-zimmer wohnung mit loggia, nähe brehmpark",899,51,2,1110
moderne dachgeschosswohnung am floridsdorfer spitz zu vermieten!,1782,82,4,1210
moderne dachgeschosswohnung am floridsdorfer spitz zu vermieten!,918.5,45,2,1210
moderne dachgeschosswohnung am floridsdorfer spitz zu vermieten!,708.4,33,1,1210
moderne dachgeschosswohnung am floridsdorfer spitz zu vermieten!,1064.8,48,2,1210
neujahrsaktion ! ruhelage erstbezug nach renovierung i 2er wg geeignet i 3 zimmer wohnung hugo wolf park boku,995.01,64,3,1190
erstbezug: smartes 1-zimmer-apartment mit balkon in niedrigenergiehaus in 1100 wien zu mieten,634,36,1,1100
erstbezug in niedrigenergiehaus: 2-zimmer-dg-terrassen-wohnung - zu mieten in 1100 wien,794,44,2,1100
provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark,829,48,2,1210
provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark,829,48,2,1210
provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark,849,48,2,1210
provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark,849,49,2,1210
provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark,849,48,2,1210
provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark,849,48,2,1210
provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark,849,48,2,1210
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,789.92,46,2,1220
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,789.38,46,2,1220
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,789.9,47,2,1220
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,819.65,48,2,1220
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,799.4499999999999,46,2,1220
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,799.4499999999999,46,2,1220
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,799.4499999999999,46,2,1220
alles neu ihr wohntraum in frischer umgebung provisionsfrei + 2 monatsmieten geschenkt!,919.56,50,2,1220
erstbezugstraum nahe u1 modernes wohngebiet unschlagbares angebot: provisionsfrei + 2 monate mietzinsfrei,799.9499999999999,46,2,1220
schöne dachgeschoß- wohnung erstbezug 2 zimmer + balkon,899,55,2,1220
2-zimmer wohnung in unmittelbarer u-bahn nähe,716.3499999999999,41,2,1120
familien-traum mit loggia! perfekt aufgeteilte 3-zimmer wohnung! erstbezug nach sanierung!,1174.6299999999999,66,3,1200
repräsentative altbauwohnung im botschaftsviertel,3950.7599999999998,240,5,1030
schöne single gartenwohnung - 2-zimmer hell und ruhig - beim maurer hauptplatz mit großer terrasse - 4 jahre befristet,886.6,55,2,1230
helle 3 zimmer wohnung mit balkon,936.9399999999999,75,3,1220
++ erstbezug ++ top neubauprojekt in gut angebundener lage!,999,56,2,1160
helle dg-wohnung nähe mariahilfer straße,2200,147,4,1070
ruhige und helle 2-zimmer-wohnung mit großem balkon bei hanusch-krankenhaus! pellet heizung!,992.99,52,2,1140
schöne dachgeschosswohnung inkl. abstellplatz im 5. bezirk - nähe u4 pilgramgasse,793,44,2,1050
genießen sie sonnenuntergänge auf der eigenen dachterrasse! dg-wohnung mit zwei terrassen! neubau!,1435.82,72,2,1100
eigengarten und terrasse! 2 zimmerwohnung nähe schloß hetzendorf! pellets heizung!,866.9,41,2,1120
erstbezug | hochwertige wohnungen mit freifläche zu mieten!,699,44,2,1200
"+neu+80,75m2+3,5-zimmer-dachgeschoss-maisonettewohnung mit 18,47 terrasse - nähe u6 floridsdorf,1210wien",1249,81,3,1210
"+neu+71,57m2+3-zimmer-dachgeschoss-maisonettewohnung mit 10,10 terrasse nähe u6 floridsdorf,1210wien",1099,72,3,1210
"möblierte, hofseitige 3 zimmer eg-terrassen-altbauwohnung - gleich beim rathaus",1390,104,3,1080
erstbezug: 2-zimmer mit südlicher terrasse und garten nahe badeteich!,779,46,2,1220
gemeinschaftlich wohnen in der wohngruppe am stadtbalkon | wg-geeignet,1885,145,7,1100
modernes wohlfühl-wohnen im cluster der wohngruppe am stadtbalkon,605.71,43,1,1100
|ober sankt veit | geräumige garconniere mit schafraum | eine minmute zur u-bahn station,658.48,50,1,1130
balkon = 2-zimmer = komplettküche = ruhige lage = u6 jägerstrasse,868.57,47,2,1200
"16., ottakring, neulerchenfelderstraße 70",995.3399999999999,69,3,1160
ruhige 2 zimmerwohnung 2 minuten zum bahnhof meidling / u6,849,52,2,1120
"vollmöbliert, all inclusive und blick in den ruhigen kurpark - leben im taba tower ohne sorgen über heizungs- und stromkosten",992.8199999999999,32,1,1100
komplett sanierte und klimatisierte altbauwohnung,3725.29,183,4,1030
möblierte altbaumiete - fully furnished,1350,56,2,1060
möblierte altbaumiete,1300,54,2,1060
komplett möbliert / fully furnished,3750,171,5,1060
möblierte altbaumiete,2420,140,4,1060
feine 2-zimmerwohnung zum wohlfühlen!,781.15,42,2,1160
augartenblick / sonnige 85 m balkonmiete / teil- oder unmöbliert / 2er wg tauglich,1095,85,2,1200
"dachausbau in renoviertem altbau in nähe rathaus, 1080 wien",NA,81,2,1080
herrschaftliche luxuswohnung nahe stephansplatz - teilmöbliert zum sofortbezug (!),4444.660000000001,200,5,1010
absolute ruhelage: 2-zimmer-wohnung ist auf der suche nach ihnen!,699,60,2,1120
"schöne, möblierte 3 zimmerwohnung im 1.bezirk",1498.99,58,3,1010
"schöne, möblierte 2 zimmerwohnung im 1.bezirk",1498.99,60,2,1010
helle 3-zimmer-wohnung mit balkon & ausblick nahe sonnbergplatz,1300,86,3,1190
einfach wow! sonnendurchflutete maisonette-wohlfühloase im erstbezug nach sanierung über den dächern der josefstadt,2999,179,3,1080
neuwertige 2-zimmer-wohnung mit balkon zur miete in 1150 wien,730,42,2,1150
"hofruhelage - 2 zimmer - wg geeignet i u4, d, s45",995.01,80,2,1190
brigittenow ! provisionsfrei wohnen im herzen von brigittenau! moderne erstbezugswohnungen ab sofort !,698.99,36,1,1200
"*****dachgeschoss - mit 3 balkonen, wg geeignet und garage*****",1450,98,4,1170
volkertmarkt - augarten ruhige helle 2 zimmer wohnung - unbefristet,797.25,65,2,1020
erstbezug - 2er wg geeignet - ruhige 3 zimmer wohnung mit grünblick - top raumaufteilung,1196.52,72,3,1030
hübsche 2 zimmer neubauwohnung nähe u4 pilgrambrücke,848.5,44,2,1060
u4 pilgrambrücke - schöne balkonwohnung mit grünblick - ruhige lage - 2 zimmer,846.24,45,2,1060
ruhige hübsche 2 zimmer wohnung mit terrasse - wohnung nähe u4 pilgramgasse,999.21,61,2,1060
2er wg ! sonnige hübsche coole terrassenwohnung - 3 zimmer - ruhige lage,948.4399999999999,66,3,1160
hi - neu adaptierte mietwohnung - top lage 1230 wien,1061.7,70,2,1230
hi - neu adaptierte mietwohnung - top lage 1230 wien,1078.7,70,2,1230
einziehen und wohlfühlen sehr schicke terrassenwohnung in hietzing,880,70,2,1130
mietwohnung nähe pragerstrasse. zentrale 3-zimmer-mietwohnung mit bester infrastruktur - 1210 wien.,1000,91,3,1210
top maisonettewohnung mit freifläche beim donaukanal,1650,100,4,1030
"provisonsfreie bauträgervergabe: premium-wohnung mit schlafzimmer zur gartenanlage, weitläufige zimmer, neue küche,supermarkt zu fuss erreichbar",913.15,75,2,1140
"provisionsfreie balkonwohnung in ruhiger grünlage, supermarkt gegenüber!",911.7,62,2,1140
top infrastruktur - 2 zimmer wohnung mit freifläche,795.58,49,2,1100
"2 zimmer wohnung in ruhiger lage, wg-tauglich",1114.71,58,2,1030
"2-zimmer-mietwohnung im dachgeschoß mit klimaanlage, garten und terrasse",1158.95,47,2,1210
"moderne, voll möblierte dachgeschoss citywohnung - klimatisiert // modern fully furnished roof city apartment with ac //",948,59,2,1150
altbauwohnung in sehr schöner lage,1150.01,78,3,1080
wg geeignet: helle 4-zimmer-maisonette unweit der u6,1371.61,125,4,1120
exzellente 2-zimmer dachgeschoß-wohnung mit herrliche terrasse in top lage - servitenviertel-roßauer lände!,1750,85,2,1090
altbauwohnung mit topausstattung nähe rochusmarkt,1150,66,2,1030
voll möblierte neubauwohnung mit balkon und kellerabteil - furnished apartment with balcony!,1054.83,45,2,1050
"bestlage nahe u3 ottakring! sonnige, unbefristete 2-zimmer-altbau-wohnung mit westseitiger loggia",878.1,66,2,1160
servitenviertel 2-zimmer-wohnung unbefristet,974.01,73,2,1090
hochwertig sanierte 5-zimmer-familienwohnung mit balkon - biedergasse,1998.99,131,5,1190
klassische altbauwohnung in einem sehr exklusiven zinshaus mit balkon in währinger bestlage,1352.99,87,3,1180
***provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark***,848.99,48,2,1210
***provisionsfrei - schöpfl eck neu am markt floridsdorf bahnhof floridsdorfer wasserpark***,799,46,2,1210
dg-wohnung in exklusiver traumlage - unbefristet,1808.76,64,2,1010
"direkt beim donau zentrum! neubau-mietwohnung! erstbezug mit neuer, vollausgestatteter küche!",799,42,2,1220
"direkt beim donau zentrum! neubau-mietwohnung! erstbezug mit neuer, vollausgestatteter küche!",799,42,2,1220
geschmackvoll modernisierte garconniere mit traumhaften süd- balkon in grün-ruhelage // mit lift & kellerabteil,642.01,33,1,1190
++ top zwei zimmer mit balkon ++ in hernals,849,49,2,1170
erstbezug - langobardenstraße 3 - nähe alte donau und polgarstraße!,699,33,2,1220
genießen sie die innenhoflage dieser hellen 2-zimmer wohnung inkl. freifläche!,944.56,53,2,1180
unbefristet: ruhige schöne innenhof 2 zi.-balkonwohnung in der gatterburggasse,775.2900000000001,56,2,1190
riesige eigenterrasse: sehr schöne 3 zi.-wohnung + 2 garagenplätze in neuwaldegger grünruhelage,1450,94,3,1170
helle mietwohnung 60 m2 provisionsfrei in 1190 wien,860,60,2,1190
nachmietersuche für eine sehr schöne 2 zimmer wohnung in top lage! nahe u6 floridsdorf - ab 01.03.2023! - jetzt zuschlagen,876.8,63,2,1210
garconniere mit balkon!,600,33,1,1050
unbefristete mietwohnung in ruhiger lage mit balkon,933.24,62,2,1100
provisionsfrei!! + 1 monat mietfrei! - licht durchflutete 3-zimmer-dachgeschosswohnung im zentrum asperns - nähe mühlwasser und u2 - jetzt anfragen! - jetzt zuschlagen,1197.96,64,3,1220
provisionsfrei + 1 monat mietfrei! - exklusive 3-zimmer-dachgeschosswohnung im zentrum asperns - nähe mühlwasser und u2. - wohntraum,1198.35,61,3,1220
unbefristete 2 1/2 zimmer wohnung erstbezug nach sanierung,745,75,2,1100
**neu** premium 4-zimmer dg-wohnung mit 90m terrassen in citylage!,2549.98,127,4,1060
**neu** tolle 3-zimmer neubauwohnung in sehr guter lage mit balkon!,1194.98,70,3,1050
provisionsfrei - nähe wien-süßenbrunn golfplatz - erstbezug - wohnung mit südbalkon,990,62,3,1210
gemütliche möblierte 3.zi.-wohnung mit loggia,1300,63,3,1110
die perfekte startwohnung für single,620,40,1,1150
eigene terrasse mit blick in den garten - renovierte dg-wohnung,1200,88,3,1140
leben über den dächern von wien - inkl. ruhiger terrasse,1490,102,3,1100
exklusive dachgeschoss-maisonette im herzen von perchtoldsdorf,2478.29,140,5,1230
172m - wg - familienhit- zentrum - altbau,2450,172,5,1040
wollen sie zentral wohnen? -cityapartment alles inklusive,2900,110,4,1010
"sehr helle, zentral begehbare 3 zimmer wohnung",1200,90,3,1200
dachterrassentraum nähe hauptbahnhof - video verfügbar!,2000,113,4,1040
erstbezug! unbefristete hauptmietwohnung in 1150 wien,445,37,2,1150
2-zimmer-neubauwohnung in spittelau-nähe - video verfügbar!,994,71,2,1090
ruhige 3-zimmer-neubauwohnung in spittelau-nähe - video verfügbar!,1200,83,3,1090
moderner erstbezug in bester lage in der schönen donaustadt - jetzt anfragen - jetzt anfragen,958.21,59,3,1220
moderner erstbezug in bester lage in der schönen donaustadt. - wohntraum,959.04,60,3,1220
moderner erstbezug in bester lage in der schönen donaustadt. - wohntraum,958.93,60,3,1220
moderner erstbezug in bester lage in der schönen donaustadt - jetzt anfragen,958.6700000000001,59,3,1220
moderner erstbezug in bester lage in der schönen donaustadt - jetzt anfragen. - wohntraum,958.2900000000001,59,3,1220
*moderner erstbezug in bester lage in der schönen donaustadt! jetzt anfragen* - jetzt anfragen,958.98,59,3,1220
moderner erstbezug in bester lage in der schönen donaustadt - jetzt anfragen,958.7900000000001,60,3,1220
*moderner erstbezug in bester lage in der schönen donaustadt*ab sofort verfügbar* - jetzt anfragen,935.3399999999999,59,3,1220
*moderner erstbezug in bester lage in der schönen donaustadt* - jetzt anfragen,936.98,59,3,1220
moderner erstbezug in bester lage in der schönen donaustadt. - wohntraum,935.13,60,3,1220
moderner erstbezug in bester lage in der schönen donaustadt - jetzt anfragen. - wohntraum,958.9,60,3,1220
**moderner erstbezug in bester lage in der schönen donaustadt - jetzt anfragen**. - wohntraum,958.55,59,3,1220
4-zimmer-altbauwohnung beim volkstheater- video verfügbar!,2225,155,4,1070
elegant-möblierte terrassenwohnung mit garage im zentrum von hietzing,1198,60,2,1130
dachterrassentraum nähe mariahilfer straße!,2595,111,3,1060
"zentrum hietzing/schönbrunn - hochwertig möblierte 2-zimmerwohnung mit loggia und schönem grünblick, garage optional",1190,58,2,1130
kirschblütenpark - exklusives wohnen für pärchen,829,44,2,1220
herrliche terrassenwohnung mit perfekter aufteilung,759,46,2,1220
perfekt aufgeteilte wohnung geeignet für pärchen in der nähe von klinik favoriten,749,44,2,1100
klimaeffiziente wohnung inkl. abstellraum - perfekt für pärchen oder singles - erstbezug,754,44,2,1100
möbliertes terrassenapartment mit weitblick zum stephansdom,1400,50,2,1090
provisionsfrei - 2 zimmer-apartment mit freiem blick auf die neue donau,1554,46,2,1220
commission free! 2 room flat with a fantastic view of the new danube,1554,46,2,1220
commission free! 2 room flat in dc residential with a view of the new danube,1448,42,2,1220
möblierte wohnung - koffer packen und einziehen!,790,42,2,1060
**fantastischer** 2 zimmer neubau mit garten in bestlage von währing *** türkenschanzpark *** ruhelage,1069.99,53,2,1180
**neu** hochwertige 2-zimmer neubauwohnung in citylage!,934.2700000000001,50,2,1070
repräsentative luxus-altbauwohnung in toller innerstädtischer lage! prächtiger altbau an einem ruhigen platzl in 1010 wien!,4620,153,4,1010
"2-zimmer wohnung mit balkon, nähe westbahnhof in 1150 wien zu mieten",678.63,55,2,1150
"2-zimmer neubauwohnung mit balkon, nähe grinzing in 1190 wien zu mieten",1162.1899999999998,51,2,1190
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt! - jetzt anfragen. - wohntraum,958.22,59,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt! - jetzt zuschlagen,958.57,60,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt! jetzt anfragen - jetzt anfragen,958.89,59,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt! - jetzt anfragen! - jetzt zuschlagen,959.11,60,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt!! - jetzt zuschlagen,958.1800000000001,59,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt. - wohntraum,959.04,60,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt - jetzt anfragen! - jetzt anfragen,958.4399999999999,59,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt! jetzt anfragen - jetzt anfragen,935.3,60,3,1220
*pog 83* wunderbare erstbezugswohnungen im herzen von donaustadt! jetzt anfragen!. - wohntraum,935.97,59,3,1220
*pog 83* südlich ausgerichtete 3 zimmer wohnung in toller lage - jetzt anfragen,935.03,59,3,1220
*pog 83* tolle 3 zimmer wohnung mit super raumaufteilung und südwest balkon - hier lässt es sich leben - jetzt anfragen!. - wohntraum,958.91,59,3,1220
*pog 83* tolle 3 zimmer wohnung mit südwest balkon zum genießen am nachmittag und einem unschlagbaren preis! - jetzt anfragen,958.43,60,3,1220
provisionsfrei - 1 monat mietfrei! licht durchflutete 3-zimmer-dachgeschosswohnung im zentrum asperns - nähe mühlwasser und u2 - jetzt anfragen - jetzt anfragen,1198.44,63,3,1220
"1060 // gemütlichkeit in bestlage, gartenseitig mit balkon!",985.3499999999999,52,2,1060
altbau | erstbezug | wien mitte,1290,76,3,1030
***triiiple - tolle 3 zimmerwohnung mit balkon und tiefgarage - rooftop-pool mit sonnenterrasse - barbecue lounge - nähe u3 schlachthausgasse***,1800,72,3,1030
luxuswohnung mit terrasse + eigengarten,2148.12,100,3,1230
"pärchen-, singlewohnung nähe raimundtheater!",768,57,2,1060
zentrale döblinger lage! unbefristetes neubau-kleinod. 2 zimmer wohnung. 57m garten!,1139.21,50,2,1190
schöne 3-zimmer-wohnung in top-lage nahe türkenschanzpark,999,74,3,1180
"u3-anbindung für exklusiven wohnkomfort, 3-zimmer neubau-wohnung!",975,69,3,1160
***1-zimmer-wohnung mit terrasse beim pötzleinsdorfer schlosspark***,505.8,24,1,1180
** hochwertige 3-zimmer wohnung mit loggia ** hg/25,967,70,3,1100
smart city living exklusives und modernes wohnen mit hervorragender verkehrsanbindung - jetzt anfragen - jetzt anfragen,649.21,34,1,1100
*single oder pärchenhit beim kagraner platz inkl küche* ab 1.1.2023 verfügbar*. - wohntraum,779.47,46,2,1220
wohnen am kirschblütenpark - single oder pärchenhit beim kagraner platz. - wohntraum,759.9499999999999,47,2,1220
wohnen am kirschblütenpark - single oder pärchenhit beim kagraner platz - jetzt anfragen,759.76,46,2,1220
"tolle 2 zimmerwohnung nähe donauinsel, mit balkon und einbauküche, ab sofort verfügbar! mit fitnessraum und sauna im wohnhaus, jetzt anfragen!! - jetzt zuschlagen",899.1800000000001,52,NA,1020
neubauwohnung im herzen ottakrings,785,46,2,1160
sehr ruhige barrierefreie 2 zimmer wohnung mit terrasse,650,46,2,1140
auf nichts verzichten! zentral und ruhig wohnen im 23. bezirk mit garten,690,48,2,1230
vollmöblierte zimmer in wohngemeinschaft an studenten oder praktikanten,530,12,1,1160
fully furnished room for students or interns ----vollmöblierte zimmer in wohngemeinschaft an studenten oder praktikanten,530,12,NA,1160
erster monat mietzinsfrei - provisionsfrei für den mieter einziehen und aufleben im wohngarten - das grüne herz simmerings,797.56,48,2,1110
